char,codepoint,count
창,U+CC3D,8
찾,U+CC3E,13
채,U+CC44,5
책,U+CC45,6
챈,U+CC48,3
챌,U+CC4C,1
챙,U+CC59,4
처,U+CC98,34
척,U+CC99,4
천,U+CC9C,6
철,U+CCA0,5
첨,U+CCA8,1
첫,U+CCAB,2
청,U+CCAD,6
체,U+CCB4,39
쳇,U+CCC7,6
쳐,U+CCD0,26
쳤,U+CCE4,2
초,U+CD08,15
촉,U+CD09,4
총,U+CD1D,1
최,U+CD5C,8
추,U+CD94,7
축,U+CD95,1
출,U+CD9C,14
충,U+CDA9,5
춰,U+CDB0,2
취,U+CDE8,3
츠,U+CE20,6
측,U+CE21,5
층,U+CE35,3
치,U+CE58,45
친,U+CE5C,11
칠,U+CE60,5
침,U+CE68,10
칫,U+CE6B,3
칭,U+CE6D,3
카,U+CE74,53
칸,U+CE78,1
칼,U+CE7C,8
캐,U+CE90,6
캠,U+CEA0,1
커,U+CEE4,5
컨,U+CEE8,3
컬,U+CEEC,1
컴,U+CEF4,1
케,U+CF00,3
켜,U+CF1C,9
켰,U+CF30,3
코,U+CF54,10
콜,U+CF5C,30
쿠,U+CFE0,2
쿨,U+CFE8,3
퀴,U+D034,1
퀵,U+D035,1
크,U+D06C,223
큭,U+D06D,1
큰,U+D070,9
클,U+D074,1
큼,U+D07C,4
키,U+D0A4,61
킨,U+D0A8,3
킬,U+D0AC,13
타,U+D0C0,27
탁,U+D0C1,19
탄,U+D0C4,7
탈,U+D0C8,9
탐,U+D0D0,4
탑,U+D0D1,5
탓,U+D0D3,5
태,U+D0DC,23
택,U+D0DD,14
탠,U+D0E0,3
탱,U+D0F1,1
터,U+D130,76
턱,U+D131,2
턴,U+D134,3
테,U+D14C,84
텍,U+D14D,2
텐,U+D150,16
텨,U+D168,3
토,U+D1A0,4
톱,U+D1B1,1
통,U+D1B5,22
퇴,U+D1F4,7
투,U+D22C,9
트,U+D2B8,44
특,U+D2B9,5
튼,U+D2BC,3
틀,U+D2C0,9
틈,U+D2C8,10
티,U+D2F0,4
틸,U+D2F8,3
팀,U+D300,1
파,U+D30C,23
판,U+D310,2
팔,U+D314,4
패,U+D328,8
퍼,U+D37C,1
펐,U+D390,1
페,U+D398,13
펙,U+D399,1
편,U+D3B8,6
펼,U+D3BC,7
평,U+D3C9,16
폐,U+D3D0,17
포,U+D3EC,39
폭,U+D3ED,5
폰,U+D3F0,4
표,U+D45C,7
푸,U+D478,2
푹,U+D479,1
풀,U+D480,9
풍,U+D48D,1
퓨,U+D4E8,1
프,U+D504,15
픈,U+D508,2
플,U+D50C,5
픔,U+D514,4
피,U+D53C,113
필,U+D544,26
하,U+D558,583
학,U+D559,2
한,U+D55C,243
할,U+D560,132
함,U+D568,36
합,U+D569,8
항,U+D56D,9
해,U+D574,357
했,U+D588,101
행,U+D589,31
향,U+D5A5,14
허,U+D5C8,12
헉,U+D5C9,10
헐,U+D5D0,1
험,U+D5D8,23
헛,U+D5DB,3
헤,U+D5E4,3
헴,U+D5F4,1
혀,U+D600,9
현,U+D604,5
혈,U+D608,9
협,U+D611,1
형,U+D615,7
혜,U+D61C,1
호,U+D638,20
혹,U+D639,4
혼,U+D63C,26
홀,U+D640,1
홈,U+D648,33
화,U+D654,23
확,U+D655,14
환,U+D658,3
활,U+D65C,6
황,U+D669,23
회,U+D68C,15
획,U+D68D,1
횟,U+D69F,1
효,U+D6A8,9
후,U+D6C4,19
훗,U+D6D7,1
훨,U+D6E8,2
휘,U+D718,7
흉,U+D749,2
흐,U+D750,14
흔,U+D754,2
흘,U+D758,3
흠,U+D760,1
흡,U+D761,2
흥,U+D765,5
희,U+D76C,68
히,U+D788,51
힌,U+D78C,3
힐,U+D790,12
힘,U+D798,87
